acc,bioproject,organism,count,broad_cat,mbases,host,project_name,manual_annot,is_pig_assoc
SRR15927521,PRJNA763043,estuary metagenome,16,other,143222,"[""missing""]",,(unnanotated),""
SRR24891250,PRJNA981443,Bos taurus,8,other,13051,,,(unnanotated),""
SRR10098299,PRJNA563872,bovine metagenome,12,other,10247,"[""Bos taurus""]",,(unnanotated),""
SRR29876930,PRJNA1137092,bioreactor metagenome,10,other,18411,,,(unnanotated),""
SRR26937433,PRJNA1044412,compost metagenome,15,other,7550,"[""pigmanure""]",,(unnanotated),""
SRR5451714,PRJNA365499,rhizosphere metagenome,13,other,60271,"[""not applicable""]",,(unnanotated),""
SRR12952646,PRJNA650758,wetland metagenome,12,other,40873,"[""not applicable""]",,(unnanotated),""
SRR5256886,PRJNA365981,soil metagenome,9,other,28963,"[""not applicable""]",,(unnanotated),""
SRR11482320,PRJNA623064,dust metagenome,16,other,13788,"[""Sus scrofa""]",,(unnanotated),""
SRR12486999,PRJNA658184,wastewater metagenome,8,other,16378,"[""Dongjin-River""]",,(unnanotated),""
SRR23086377,PRJNA919165,sediment metagenome,16,other,81306,"[""not collected""]",,(unnanotated),""
SRR14578333,PRJNA729725,aquatic metagenome,9,other,37609,,"[""glacial retreat""]",(unnanotated),""
ERR7413336,PRJEB48889,Rinodina peloleuca,15,other,11895,,,(unnanotated),""
SRR8925821,PRJNA533495,bioreactor metagenome,15,other,17481,"[""anaerobic digestor""]",,(unnanotated),""
SRR10613498,PRJNA486429,air metagenome,8,other,15896,,,(unnanotated),""
SRR12952112,PRJNA650886,wetland metagenome,12,other,36979,"[""not applicable""]",,(unnanotated),""
SRR3954466,PRJNA330069,soil metagenome,12,other,36596,"[""not applicable""]",,(unnanotated),""
SRR22388063,PRJNA858913,groundwater metagenome,9,other,31439,,,(unnanotated),""
SRR30884408,PRJNA1163957,drinking water metagenome,10,other,10761,"[""Pig""]",,(unnanotated),""
SRR30410461,PRJNA1152756,marine metagenome,15,other,43076,"[""None""]",,(unnanotated),""
ERR10705275,PRJEB55540,marine sediment metagenome,14,other,25669,,"[""Marine sediment metegenomic DNA""]",(unnanotated),""
SRR14366760,PRJNA699054,groundwater metagenome,15,other,28156,,,(unnanotated),""
SRR7186480,PRJNA450295,root metagenome,9,other,58237,"[""Bulk soil""]",,(unnanotated),""
SRR22387973,PRJNA858913,groundwater metagenome,9,other,49900,,,(unnanotated),""
