organism,is_pig_assoc,acc,bioproject,count,broad_cat,mbases,host,project_name
bovine gut metagenome,1,ERR3224576,PRJEB31266,8,other,39686,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
Equus asinus asinus,1,ERR10048405,PRJEB52849,16,other,152280,,
Bos taurus,1,ERR2019396,PRJEB21508,10,other,20546,,"[""Ruminomics EU FP7""]"
termite gut metagenome,0,SRR6206199,PRJNA366375,15,other,47836,"[""not applicable""]",
Equus asinus,1,SRR28806309,PRJNA1103961,14,other,13923,,
bovine gut metagenome,1,SRR22221980,PRJNA843354,9,other,11117,"[""Bos taurus""]",
bovine gut metagenome,1,SRR5371511,PRJNA356291,16,other,67315,"[""Bos taurus""]",
goat gut metagenome,1,SRR17418359,PRJNA792486,9,other,28392,"[""Black goat""]",
bovine gut metagenome,1,SRR3181140,PRJNA309291,11,other,15442,"[""Bos taurus""]",
Bos taurus,1,SRR24891230,PRJNA981443,9,other,13531,,
bovine gut metagenome,1,ERR3220179,PRJEB31266,11,other,22365,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3211462,PRJEB31266,8,other,28248,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3801455,PRJEB33080,12,other,18867,,
bovine gut metagenome,1,ERR3224609,PRJEB31266,12,other,38658,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR10098304,PRJNA563872,8,other,13686,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3220178,PRJEB31266,10,other,18157,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3220184,PRJEB31266,9,other,19360,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3220198,PRJEB31266,8,other,21850,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
mouse gut metagenome,0,SRR12358621,PRJNA649861,12,other,39731,"[""BALB/c""]",
Bos taurus,1,ERR2019391,PRJEB21508,9,other,24783,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,SRR5371499,PRJNA356291,16,other,24297,"[""Bos taurus""]",
termite gut metagenome,0,SRR6218741,PRJNA405701,12,other,58309,"[""not applicable""]",
bovine gut metagenome,1,ERR3220207,PRJEB31266,11,other,18732,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
mouse gut metagenome,0,SRR13741615,PRJNA600179,8,other,9656,"[""Mus musculus""]",
invertebrate metagenome,0,SRR13927422,PRJNA662631,12,other,23936,"[""Synoicum adareanum""]",
bovine gut metagenome,1,SRR22213169,PRJNA898608,9,other,8918,"[""Bos taurus indicus""]",
bovine metagenome,1,SRR6512893,PRJNA420682,15,other,13706,"[""Bos taurus""]",
bovine metagenome,1,SRR3053182,PRJNA292471,11,other,5576,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3201393,PRJEB31266,10,other,20998,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
Bos taurus,1,ERR2019366,PRJEB21508,12,other,23053,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,SRR5371471,PRJNA356291,16,other,42225,"[""Bos taurus""]",
bovine metagenome,1,SRR10098296,PRJNA563872,15,other,16025,"[""Bos taurus""]",
Equus asinus asinus,1,ERR10048382,PRJEB52849,15,other,106567,,
bovine gut metagenome,1,SRR3181158,PRJNA309291,10,other,17055,"[""Bos taurus""]",
bovine gut metagenome,1,SRR5371381,PRJNA356291,16,other,12813,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3801454,PRJEB33080,10,other,14415,,
Bos taurus,1,SRR24891241,PRJNA981443,8,other,12677,,
bovine gut metagenome,1,SRR094437,PRJNA60251,16,other,87947,,
bovine gut metagenome,1,SRR17023466,PRJNA779163,12,other,20259,"[""cattle""]",
bovine gut metagenome,1,ERR3220195,PRJEB31266,11,other,24460,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR6512901,PRJNA420682,13,other,4288,"[""Bos taurus""]",
Bos taurus,1,SRR24891222,PRJNA981443,9,other,13576,,
bovine gut metagenome,1,ERR3275111,PRJEB31266,11,other,42159,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR3181160,PRJNA309291,14,other,13369,"[""Bos taurus""]",
bovine gut metagenome,1,SRR26824602,PRJNA1040231,12,other,24984,"[""Bos taurus""]",
bovine gut metagenome,1,SRR5371465,PRJNA356291,15,other,24159,"[""Bos taurus""]",
bovine metagenome,1,SRR3053170,PRJNA292471,9,other,3363,"[""Bos taurus""]",
mouse gut metagenome,0,SRR12358617,PRJNA649861,10,other,57759,"[""BALB/c""]",
bovine gut metagenome,1,SRR12668996,PRJNA654761,13,other,47983,"[""Bos taurus""]",
bovine metagenome,1,SRR10098324,PRJNA563872,10,other,9936,"[""Bos taurus""]",
bovine gut metagenome,1,SRR5371403,PRJNA356291,13,other,12490,"[""Bos taurus""]",
Equus asinus asinus,1,ERR10048389,PRJEB52849,16,other,109570,,
sheep gut metagenome,1,SRR9006730,PRJNA539639,14,other,57946,"[""Ovis aries""]",
bovine metagenome,1,SRR10098322,PRJNA563872,13,other,12680,"[""Bos taurus""]",
bovine metagenome,1,SRR13059364,PRJNA678365,14,other,14641,"[""Capra aegagrus hircus""]",
bovine gut metagenome,1,ERR3224567,PRJEB31266,10,other,28757,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3801478,PRJEB33080,8,other,15043,,
bovine metagenome,1,SRR9037496,PRJNA420682,13,other,10578,"[""Bos taurus""]",
Equus asinus asinus,1,ERR10048377,PRJEB52849,14,other,84895,,
bovine gut metagenome,1,SRR5371435,PRJNA356291,16,other,25815,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3275105,PRJEB31266,14,other,42674,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR5371377,PRJNA356291,15,other,17408,"[""Bos taurus""]",
mouse gut metagenome,0,SRR12358611,PRJNA649861,15,other,37371,"[""BALB/c""]",
bovine gut metagenome,1,SRR3181148,PRJNA309291,8,other,11909,"[""Bos taurus""]",
bovine metagenome,1,SRR10098306,PRJNA563872,11,other,12117,"[""Bos taurus""]",
bovine gut metagenome,1,SRR5371501,PRJNA356291,16,other,34856,"[""Bos taurus""]",
bovine gut metagenome,1,SRR13433992,PRJNA691977,13,other,28030,"[""Bos taurus""]",
Bos taurus,1,SRR24882553,PRJNA980404,9,other,13404,,
goat gut metagenome,1,SRR17418335,PRJNA792486,8,other,29458,"[""Black goat""]",
Bos taurus,1,ERR2019386,PRJEB21508,10,other,25392,,"[""Ruminomics EU FP7""]"
sheep gut metagenome,1,SRR17274348,PRJNA783381,11,other,10179,"[""sheep103""]",
Equus asinus asinus,1,ERR10048374,PRJEB52849,16,other,110207,,
bovine gut metagenome,1,ERR3224607,PRJEB31266,10,other,32348,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR31127829,PRJNA1153624,9,other,37218,"[""bovine""]",
termite gut metagenome,0,SRR10512954,PRJNA590611,15,other,51353,"[""Embiratermes neotenicus""]",
bovine metagenome,1,SRR10098321,PRJNA563872,10,other,15046,"[""Bos taurus""]",
bovine metagenome,1,SRR24956272,PRJNA984925,10,other,10877,"[""Bos taurus""]",
Bos taurus,1,ERR2019413,PRJEB21508,12,other,21362,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,ERR3224605,PRJEB31266,12,other,33488,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3801483,PRJEB33080,11,other,15056,,
bovine gut metagenome,1,ERR3801492,PRJEB33080,12,other,19955,,
bovine gut metagenome,1,SRR29517105,PRJNA1125719,12,other,25766,"[""Bos taurus""]",
mouse gut metagenome,0,SRR12398540,PRJNA655594,8,other,30143,"[""C57BL/6J""]",
Bos taurus,1,ERR7756148,PRJEB44278,12,other,9632,,
sheep gut metagenome,1,SRR17274350,PRJNA783381,9,other,10737,"[""sheep119""]",
bovine gut metagenome,1,ERR3275108,PRJEB31266,13,other,43267,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3275091,PRJEB31266,12,other,38630,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
sheep gut metagenome,1,SRR17274331,PRJNA783381,10,other,9697,"[""sheep108""]",
bovine gut metagenome,1,SRR5371385,PRJNA356291,16,other,15536,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3220182,PRJEB31266,10,other,21684,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3220194,PRJEB31266,10,other,24255,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR17023457,PRJNA779163,11,other,19269,"[""cattle""]",
Bos taurus,1,ERR2019356,PRJEB21508,11,other,26798,,"[""Ruminomics EU FP7""]"
invertebrate metagenome,0,SRR13325273,PRJNA687334,9,other,20928,"[""wild plants""]",
bovine gut metagenome,1,ERR3211463,PRJEB31266,10,other,20935,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3801468,PRJEB33080,13,other,19892,,
termite gut metagenome,0,SRR6219166,PRJNA405700,8,other,54880,"[""not applicable""]",
termite gut metagenome,0,SRR5215141,PRJNA365049,14,other,52879,"[""not applicable""]",
bovine gut metagenome,1,SRR26824601,PRJNA1040231,13,other,28211,"[""Bos taurus""]",
bovine gut metagenome,1,SRR3181116,PRJNA309291,10,other,13189,"[""Bos taurus""]",
Bos taurus,1,ERR2019397,PRJEB21508,11,other,26086,,"[""Ruminomics EU FP7""]"
invertebrate metagenome,0,SRR13325295,PRJNA687334,8,other,42684,"[""citrus""]",
bovine gut metagenome,1,ERR3801481,PRJEB33080,11,other,13355,,
sheep gut metagenome,1,SRR17274333,PRJNA783381,9,other,11285,"[""sheep106""]",
bovine metagenome,1,SRR6512897,PRJNA420682,15,other,7642,"[""Bos taurus""]",
Equus asinus,1,SRR20707896,PRJNA860652,13,other,14929,,
bovine gut metagenome,1,SRR5371395,PRJNA356291,15,other,19787,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3275115,PRJEB31266,9,other,36197,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR10098319,PRJNA563872,13,other,13507,"[""Bos taurus""]",
bovine gut metagenome,1,SRR22213149,PRJNA898608,11,other,7376,"[""Bos taurus indicus""]",
bovine metagenome,1,SRR6512904,PRJNA420682,13,other,9177,"[""Bos taurus""]",
Bos taurus,1,ERR2019388,PRJEB21508,10,other,20056,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,SRR5371433,PRJNA356291,15,other,29874,"[""Bos taurus""]",
Equus asinus,1,SRR20707899,PRJNA860652,9,other,13013,,
termite gut metagenome,0,SRR5248941,PRJNA366255,10,other,55329,"[""not applicable""]",
Equus asinus asinus,1,ERR10048395,PRJEB52849,15,other,110449,,
bovine metagenome,1,SRR3053138,PRJNA292471,10,other,6002,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3275126,PRJEB31266,13,other,40958,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3201418,PRJEB31266,14,other,29321,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
mouse gut metagenome,0,SRR10858971,PRJNA600179,13,other,12123,"[""Mus musculus""]",
goat gut metagenome,1,SRR17418344,PRJNA792486,14,other,25344,"[""Black goat""]",
sheep gut metagenome,1,SRR12081293,PRJNA641579,8,other,22715,"[""sheep""]",
bovine gut metagenome,1,SRR7971122,PRJNA469173,10,other,69977,"[""Bos taurus""]",
mouse gut metagenome,0,SRR13741606,PRJNA600179,14,other,13057,"[""Mus musculus""]",
Bos taurus,1,ERR2019378,PRJEB21508,8,other,20886,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,SRR5371409,PRJNA356291,15,other,13229,"[""Bos taurus""]",
bovine gut metagenome,1,SRR3181128,PRJNA309291,10,other,15054,"[""Bos taurus""]",
Bos taurus,1,ERR2019362,PRJEB21508,11,other,27731,,"[""Ruminomics EU FP7""]"
Equus asinus asinus,1,ERR10048365,PRJEB52849,15,other,101215,,
bovine metagenome,1,SRR24963330,PRJNA984925,8,other,12032,"[""Bos taurus""]",
bovine metagenome,1,SRR3053162,PRJNA292471,9,other,4775,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3275114,PRJEB31266,13,other,42320,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR5371469,PRJNA356291,15,other,52682,"[""Bos taurus""]",
mouse gut metagenome,0,SRR25119225,PRJNA348350,16,other,140688,"[""Mus musculus""]",
Equus asinus asinus,1,ERR10048393,PRJEB52849,16,other,132952,,
bovine gut metagenome,1,SRR7971120,PRJNA469174,8,other,63756,"[""Bos taurus""]",
bovine gut metagenome,1,SRR17023459,PRJNA779163,12,other,19226,"[""cattle""]",
bovine gut metagenome,1,SRR31127835,PRJNA1153624,9,other,66822,"[""bovine""]",
Equus asinus asinus,1,ERR10048384,PRJEB52849,14,other,104535,,
bovine gut metagenome,1,ERR3224599,PRJEB31266,14,other,37515,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3801460,PRJEB33080,12,other,19177,,
bovine gut metagenome,1,ERR3801491,PRJEB33080,11,other,20947,,
bovine gut metagenome,1,SRR9008757,PRJNA539662,12,other,68571,"[""Bos taurus""]",
bovine metagenome,1,ERR2200664,PRJEB23561,12,other,39853,,"[""Rumen metagenome""]"
bovine gut metagenome,1,SRR5371389,PRJNA356291,15,other,19015,"[""Bos taurus""]",
Bos taurus,1,ERR2019414,PRJEB21508,8,other,17286,,"[""Ruminomics EU FP7""]"
goat gut metagenome,1,SRR17418336,PRJNA792486,8,other,30653,"[""Black goat""]",
Bos taurus,1,ERR2019401,PRJEB21508,12,other,18634,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,SRR17714296,PRJNA799789,8,other,11979,"[""Bos taurus""]",
Equus asinus,1,SRR28806308,PRJNA1103961,12,other,14074,,
bovine gut metagenome,1,SRR5371453,PRJNA356291,16,other,38867,"[""Bos taurus""]",
bovine gut metagenome,1,SRR4435573,PRJNA214227,8,other,10392,"[""Bison bison""]",
mouse gut metagenome,0,SRR12358619,PRJNA649861,10,other,51375,"[""BALB/c""]",
bovine gut metagenome,1,SRR13343631,PRJNA686811,10,other,12499,"[""cow""]",
bovine gut metagenome,1,ERR3801466,PRJEB33080,11,other,19235,,
bovine gut metagenome,1,SRR13343629,PRJNA686811,10,other,12142,"[""cow""]",
mouse gut metagenome,0,SRR13741612,PRJNA600179,12,other,11277,"[""Mus musculus""]",
bovine gut metagenome,1,ERR3801488,PRJEB33080,11,other,18783,,
bovine gut metagenome,1,SRR26824596,PRJNA1040231,14,other,23365,"[""Bos taurus""]",
bovine gut metagenome,1,SRR3181135,PRJNA309291,11,other,13738,"[""Bos taurus""]",
bovine gut metagenome,1,SRR3181110,PRJNA309291,9,other,12773,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3220187,PRJEB31266,10,other,24623,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR22518914,PRJNA903516,8,other,7020,"[""Vertebrates:bos_taurus""]",
bovine gut metagenome,1,SRR5371467,PRJNA356291,15,other,23921,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3220225,PRJEB31266,9,other,18355,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3801464,PRJEB33080,12,other,21309,,
bovine gut metagenome,1,SRR9036418,PRJNA539170,13,other,49267,"[""Bos taurus""]",
Bos taurus,1,ERR2019415,PRJEB21508,8,other,15560,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,SRR13343632,PRJNA686811,11,other,10846,"[""cow""]",
bovine gut metagenome,1,ERR3224597,PRJEB31266,9,other,40380,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR9036306,PRJNA539168,13,other,46225,"[""Bos taurus""]",
bovine metagenome,1,ERR2200665,PRJEB23561,9,other,28769,,"[""Rumen metagenome""]"
Equus asinus asinus,1,ERR10048371,PRJEB52849,13,other,75391,,
Bos taurus,1,ERR2019411,PRJEB21508,11,other,20921,,"[""Ruminomics EU FP7""]"
bovine metagenome,1,ERR2200668,PRJEB23561,8,other,31886,,"[""Rumen metagenome""]"
bovine gut metagenome,1,SRR3457760,PRJNA319009,13,other,20188,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3220214,PRJEB31266,10,other,19956,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3201407,PRJEB31266,10,other,27739,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR10098328,PRJNA563872,12,other,11507,"[""Bos taurus""]",
bovine gut metagenome,1,SRR17023460,PRJNA779163,12,other,21500,"[""cattle""]",
mouse gut metagenome,0,SRR12358626,PRJNA649861,15,other,41556,"[""BALB/c""]",
Bos taurus,1,SRR24891251,PRJNA981443,8,other,12564,,
bovine gut metagenome,1,ERR3220200,PRJEB31266,11,other,21954,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
mouse gut metagenome,0,SRR9052928,PRJNA541820,16,other,42867,"[""C57BL/6""]",
Equus asinus asinus,1,ERR10048391,PRJEB52849,15,other,116253,,
Bos taurus,1,SRR24882555,PRJNA980404,10,other,15102,,
bovine metagenome,1,SRR6512900,PRJNA420682,15,other,17565,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3220193,PRJEB31266,10,other,20438,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
Bos taurus,1,SRR24891236,PRJNA981443,9,other,12652,,
bovine gut metagenome,1,ERR3801452,PRJEB33080,9,other,16285,,
bovine gut metagenome,1,SRR24260327,PRJNA956982,9,other,11139,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3275121,PRJEB31266,8,other,37893,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
invertebrate metagenome,0,SRR13325279,PRJNA687334,13,other,99371,"[""sugar apple""]",
bovine metagenome,1,SRR3053141,PRJNA292471,9,other,4370,"[""Bos taurus""]",
bovine gut metagenome,1,SRR9036511,PRJNA539169,14,other,53445,"[""Bos taurus""]",
mouse gut metagenome,0,SRR9052923,PRJNA541820,13,other,44526,"[""C57BL/6""]",
mouse gut metagenome,0,SRR12358627,PRJNA649861,13,other,38816,"[""BALB/c""]",
bovine metagenome,1,SRR24963225,PRJNA984925,8,other,13125,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3201379,PRJEB31266,10,other,20507,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR094926,PRJNA60251,16,other,100274,,
mouse gut metagenome,0,SRR13741618,PRJNA600179,12,other,10907,"[""Mus musculus""]",
bovine metagenome,1,SRR22560184,PRJNA909573,9,other,12831,"[""bovine""]",
bovine gut metagenome,1,ERR3224596,PRJEB31266,10,other,36611,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3224600,PRJEB31266,12,other,35815,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
Bos taurus,1,SRR24891224,PRJNA981443,10,other,17905,,
Equus asinus asinus,1,ERR10048397,PRJEB52849,15,other,117745,,
bovine metagenome,1,SRR3053177,PRJNA292471,12,other,7712,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3275128,PRJEB31266,14,other,40222,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR5371479,PRJNA356291,16,other,101198,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3220213,PRJEB31266,10,other,18060,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3801477,PRJEB33080,8,other,11923,,
Bos taurus,1,SRR24891237,PRJNA981443,8,other,13119,,
Equus asinus asinus,1,ERR10048372,PRJEB52849,16,other,107762,,
bovine metagenome,1,SRR10098305,PRJNA563872,8,other,11884,"[""Bos taurus""]",
Bos taurus,1,ERR2019359,PRJEB21508,13,other,29383,,"[""Ruminomics EU FP7""]"
bovine metagenome,1,SRR6512899,PRJNA420682,15,other,15493,"[""Bos taurus""]",
bovine metagenome,1,SRR3053171,PRJNA292471,14,other,5422,"[""Bos taurus""]",
termite gut metagenome,0,SRR5215144,PRJNA365051,11,other,53647,"[""not applicable""]",
bovine gut metagenome,1,ERR3275103,PRJEB31266,13,other,42543,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3224594,PRJEB31266,13,other,36818,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
mouse gut metagenome,0,SRR12358613,PRJNA649861,14,other,43471,"[""BALB/c""]",
mouse gut metagenome,0,SRR10858970,PRJNA600179,13,other,12866,"[""Mus musculus""]",
Equus asinus asinus,1,ERR10048387,PRJEB52849,15,other,104931,,
invertebrate metagenome,0,SRR13325282,PRJNA687334,8,other,37162,"[""guava""]",
Bos taurus,1,ERR2019365,PRJEB21508,8,other,21153,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,ERR3224573,PRJEB31266,10,other,32914,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
termite gut metagenome,0,SRR6220664,PRJNA366256,14,other,42249,"[""not applicable""]",
mouse gut metagenome,0,SRR9052926,PRJNA541820,16,other,40827,"[""C57BL/6""]",
bovine gut metagenome,1,SRR26824592,PRJNA1040231,13,other,32673,"[""Bos taurus""]",
bovine gut metagenome,1,SRR17023477,PRJNA779163,11,other,20032,"[""cattle""]",
mouse gut metagenome,0,SRR29267457,PRJNA1119043,8,other,15488,"[""Donkey""]",
bovine gut metagenome,1,SRR17023469,PRJNA779163,9,other,28935,"[""cattle""]",
bovine gut metagenome,1,ERR3801462,PRJEB33080,12,other,18978,,
bovine gut metagenome,1,SRR5371473,PRJNA356291,16,other,42402,"[""Bos taurus""]",
bovine gut metagenome,1,SRR21118914,PRJNA869873,10,other,16288,"[""dairy cattle""]",
bovine gut metagenome,1,ERR3224598,PRJEB31266,13,other,38519,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR28378877,PRJNA1088235,8,other,14223,"[""Cattle""]",
bovine gut metagenome,1,SRR8543131,PRJNA518429,16,other,58017,"[""Bos taurus""]",
termite gut metagenome,0,SRR6206236,PRJNA405783,8,other,45583,"[""Cubitermes""]",
Bos taurus,1,ERR2019360,PRJEB21508,12,other,30796,,"[""Ruminomics EU FP7""]"
sheep gut metagenome,1,SRR8436538,PRJNA502469,16,other,70664,"[""Ovis aries""]",
bovine gut metagenome,1,ERR3211449,PRJEB31266,8,other,25869,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
termite gut metagenome,0,SRR14710888,PRJNA732531,14,other,41428,"[""Zootermopsis nevadensis""]",
goat gut metagenome,1,SRR17418333,PRJNA792486,8,other,27967,"[""Black goat""]",
bovine metagenome,1,ERR2200659,PRJEB23561,9,other,38491,,"[""Rumen metagenome""]"
bovine metagenome,1,SRR3053180,PRJNA292471,12,other,5723,"[""Bos taurus""]",
mouse gut metagenome,0,SRR12398545,PRJNA655594,16,other,57952,"[""C57BL/6J""]",
goat gut metagenome,1,SRR17418319,PRJNA792486,12,other,35787,"[""Black goat""]",
bovine gut metagenome,1,SRR13343634,PRJNA686811,10,other,12671,"[""cow""]",
bovine metagenome,1,SRR6512890,PRJNA420682,13,other,6584,"[""Bos taurus""]",
bovine metagenome,1,SRR6512903,PRJNA420682,14,other,8761,"[""Bos taurus""]",
bovine gut metagenome,1,SRR29517095,PRJNA1125719,9,other,13314,"[""Bos taurus""]",
mouse gut metagenome,0,SRR12358623,PRJNA649861,15,other,42934,"[""BALB/c""]",
bovine gut metagenome,1,ERR3201386,PRJEB31266,9,other,20439,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR6512905,PRJNA420682,15,other,13725,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3220204,PRJEB31266,10,other,17431,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR29517081,PRJNA1125719,9,other,15744,"[""Bos taurus""]",
bovine gut metagenome,1,SRR22213141,PRJNA898608,8,other,8391,"[""Bos taurus indicus""]",
bovine gut metagenome,1,ERR3220223,PRJEB31266,9,other,18706,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR3053173,PRJNA292471,13,other,6950,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3275098,PRJEB31266,10,other,40144,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR5371475,PRJNA356291,16,other,20189,"[""Bos taurus""]",
bovine metagenome,1,SRR10098312,PRJNA563872,11,other,14036,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3201405,PRJEB31266,11,other,24434,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR10098309,PRJNA563872,8,other,11658,"[""Bos taurus""]",
bovine gut metagenome,1,SRR3181143,PRJNA309291,13,other,11706,"[""Bos taurus""]",
bovine metagenome,1,SRR3053209,PRJNA292471,8,other,1799,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3275122,PRJEB31266,14,other,39745,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,ERR2200669,PRJEB23561,8,other,35004,,"[""Rumen metagenome""]"
Equus asinus asinus,1,ERR10048386,PRJEB52849,14,other,86366,,
bovine gut metagenome,1,SRR3181124,PRJNA309291,12,other,13160,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3224579,PRJEB31266,9,other,35810,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR3053147,PRJNA292471,13,other,3847,"[""Bos taurus""]",
bovine gut metagenome,1,SRR26824593,PRJNA1040231,14,other,28936,"[""Bos taurus""]",
bovine gut metagenome,1,SRR26824603,PRJNA1040231,12,other,26847,"[""Bos taurus""]",
bovine metagenome,1,SRR3053212,PRJNA292471,8,other,1866,"[""Bos taurus""]",
Bos taurus,1,ERR2019372,PRJEB21508,10,other,16727,,"[""Ruminomics EU FP7""]"
Bos taurus,1,ERR2019370,PRJEB21508,11,other,19260,,"[""Ruminomics EU FP7""]"
Bos taurus,1,ERR2019375,PRJEB21508,12,other,21773,,"[""Ruminomics EU FP7""]"
Bos taurus,1,ERR2019395,PRJEB21508,9,other,17577,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,ERR3801487,PRJEB33080,12,other,22161,,
sheep gut metagenome,1,SRR9006729,PRJNA539639,16,other,69345,"[""Ovis aries""]",
sheep gut metagenome,1,SRR17274337,PRJNA783381,8,other,10563,"[""sheep104""]",
bovine gut metagenome,1,SRR17023461,PRJNA779163,12,other,21271,"[""cattle""]",
bovine metagenome,1,SRR3053167,PRJNA292471,8,other,3863,"[""Bos taurus""]",
Equus asinus,1,SRR28806316,PRJNA1103961,12,other,14255,,
termite gut metagenome,0,SRR6219231,PRJNA405702,11,other,58067,"[""not applicable""]",
