organism,is_pig_assoc,acc,bioproject,count,broad_cat,mbases,host,project_name
bovine gut metagenome,1,SRR18394693,PRJNA815894,9,other,21361,"[""buffalo""]",
bovine gut metagenome,1,SRR5371485,PRJNA356291,16,other,27096,"[""Bos taurus""]",
goat gut metagenome,1,SRR17418340,PRJNA792486,11,other,20587,"[""Black goat""]",
Equus asinus,1,SRR28806303,PRJNA1103961,12,other,13079,,
bovine metagenome,1,SRR6512911,PRJNA420682,13,other,8795,"[""Bos taurus""]",
bovine gut metagenome,1,SRR094428,PRJNA60251,8,other,22847,,
Bos taurus,1,ERR2019398,PRJEB21508,13,other,29763,,"[""Ruminomics EU FP7""]"
Equus asinus,1,SRR20707906,PRJNA860652,9,other,14771,,
bovine gut metagenome,1,SRR1706031,PRJNA269993,16,other,82272,"[""Cow""]",
bovine gut metagenome,1,SRR22213186,PRJNA898608,9,other,7527,"[""Bos taurus indicus""]",
bovine gut metagenome,1,SRR11060108,PRJNA518429,12,other,34215,"[""Bos taurus""]",
mouse gut metagenome,0,SRR13741609,PRJNA600179,11,other,10294,"[""Mus musculus""]",
goat gut metagenome,1,SRR17418347,PRJNA792486,13,other,27926,"[""Black goat""]",
bovine gut metagenome,1,SRR18394696,PRJNA815894,12,other,22570,"[""buffalo""]",
bovine metagenome,1,SRR3053214,PRJNA292471,12,other,5475,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3201381,PRJEB31266,11,other,19094,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR9008756,PRJNA539662,13,other,66696,"[""Bos taurus""]",
bovine gut metagenome,1,SRR3181132,PRJNA309291,10,other,12858,"[""Bos taurus""]",
bovine gut metagenome,1,SRR3181149,PRJNA309291,13,other,18969,"[""Bos taurus""]",
bovine metagenome,1,SRR10098310,PRJNA563872,10,other,12608,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3801465,PRJEB33080,11,other,18788,,
Equus asinus asinus,1,ERR10048410,PRJEB52849,14,other,97991,,
bovine gut metagenome,1,SRR5371419,PRJNA356291,16,other,26820,"[""Bos taurus""]",
sheep gut metagenome,1,SRR17274355,PRJNA783381,10,other,10601,"[""sheep114""]",
bovine gut metagenome,1,SRR18056065,PRJNA806696,8,other,11965,"[""Bos grunniens""]",
Equus asinus asinus,1,ERR10048381,PRJEB52849,15,other,102718,,
bovine gut metagenome,1,ERR3201421,PRJEB31266,11,other,14142,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR17996667,PRJNA806344,12,other,11802,"[""Bos taurus""]",
bovine gut metagenome,1,SRR5371455,PRJNA356291,15,other,21791,"[""Bos taurus""]",
sheep gut metagenome,1,SRR17274359,PRJNA783381,10,other,10708,"[""sheep102""]",
termite gut metagenome,0,SRR5215143,PRJNA365050,16,other,57505,"[""not applicable""]",
Bos taurus,1,ERR2019363,PRJEB21508,13,other,22916,,"[""Ruminomics EU FP7""]"
bovine metagenome,1,SRR10098307,PRJNA563872,10,other,19845,"[""Bos taurus""]",
Bos taurus,1,ERR2019374,PRJEB21508,12,other,20937,,"[""Ruminomics EU FP7""]"
